,Title,Author,Score,Ratings,Published
2171,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,576102,2005
2172,House of Leaves,Mark Z. Danielewski,4.09,158941,2000
2173,Anxious People,Fredrik Backman,4.19,567275,2019
2174,Light from Uncommon Stars,Ryka Aoki,4.09,22808,2021
2175,"The Pioneer Woman Cooks—Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",Ree Drummond,4.22,1738,2021
2176,Almost Everything: Notes on Hope,Anne Lamott,3.85,12335,2018
2177,Slash,Slash,3.99,27690,2007
2178,"Caged (Defiant Kings, #1)",Bella  Matthews,4.19,2435,2022
2179,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,4.51,54059,2020
2180,The Art of War,Sun Tzu,3.96,454871,-400
2181,The Stranger,Albert Camus,4.01,992487,1942
2182,The Agony and the Ecstasy,Irving Stone,4.08,88702,1958
2183,Waterborne (Jake Bendel Thrillers #2),J. Luke Bennecke,4.12,156,2019
2184,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.25,1136722,2017
2185,Finding Us (Pictures of the Heart Book #2),Tracie Peterson,4.52,110,2023
2186,"84, Charing Cross Road",Helene Hanff,4.16,77345,1970
2187,You Deserve Each Other,Sarah Hogle,3.94,99803,2020
2188,The Chain,Adrian McKinty,3.8,100143,2019
2189,Paradise Lost,John Milton,3.84,166122,1667
2190,The Legacies,Jessica  Goodman,3.68,688,2023
2191,"Rogue (Prep, #2)",Elle Kennedy,3.8,4350,2023
2192,"Ciudades de humo (Trilogía Fuego, 1)",Joana Marcús,4.53,25232,2019
2193,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,4.28,59404,2022
2194,The Shadow Sister,Lily Meade,3.93,531,2023
2195,How to Stop Worrying and Start Living (Dale Carnegie Books),Dale Carnegie,4.15,102621,1944
2196,"Man of Shadow and Mist (Of Monsters and Men, #2)",Michelle Griep,4.58,354,2023
2197,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,391502,1997
2198,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,4.16,113580,2020
2199,"The Devil Gets His Due (The Devils, #4)",Elizabeth O\'Roark,4.06,8714,2022
2200,"The Simple Wild (Wild, #1)",K.A. Tucker,4.32,100299,2018
2201,"Finlay Donovan Is Killing It (Finlay Donovan, #1)",Elle Cosimano,4.03,129215,2021
2202,"Better Small Talk: Talk to Anyone, Avoid Awkwardness, Generate Deep Conversations, and Make Real Friends (How to be More Likable and Charismatic Book 5)",Patrick King,3.73,821,2020
2203,The Extraordinary Life of an Ordinary Man: A Memoir,Paul Newman,3.9,6484,2022
2204,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.97,343331,2019
2205,"Angels' Blood (Guild Hunter, #1)",Nalini Singh,4.08,89832,2009
2206,Evidence of the Affair,Taylor Jenkins Reid,3.9,112540,2018
2207,"The Jasad Heir (The Scorched Throne, #1)",Sara  Hashem,4.2,1256,2023
2208,"If Found, Return to Hell",Em X. Liu,4.2,129,2023
2209,Shipped,Angie Hockman,3.64,61715,2021
2210,Niente di vero,Veronica Raimo,3.58,7986,2022
2211,"You&#39;ll Be Mine (Hearts Bend Collection, #2)",Rachel Hauck,4.22,356,2022
2212,The Devil Within Us All,William F.  Gray,4.23,47,2023
2213,The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,John Mark Comer,4.54,42534,2019
2214,"The Last Graduate (The Scholomance, #2)",Naomi Novik,4.28,80739,2021
2215,Business Model Generation,Alexander Osterwalder,4.2,53122,2010
2216,The Madam and the Spymaster: The Secret History of the Most Famous Brothel in Wartime Berlin,Urs Brunner,3.22,9,2023
2217,"The River&#39;s Edge (Jackman &amp; Evans, #10)",Joy Ellis,4.62,1791,2023
2218,Radical: Taking Back Your Faith from the American Dream,David     Platt,4.18,61484,2010
2219,"Soldiers Don&#39;t Go Mad: A True Story of Friendship, Poetry, and Mental Illness During the First World War",Charles Glass,4.22,64,2023
2220,Sea of Tranquility,Emily St. John Mandel,4.1,180937,2022
2221,The Midwife&#39;s Secret,Emily Gunnis,4.2,6944,2021
2222,"Redeeming 6 (Boys of Tommen, #4)",Chloe Walsh,4.65,12069,2023
2223,The Highland Fling,Meghan Quinn,4.03,34901,2021
2224,"The Vanderbeekers and the Hidden Garden (The Vanderbeekers, #2)",Karina Yan Glaser,4.42,5810,2018
2225,Sensibly Wed (Bradwell Brothers #1),Kasey Stockton,4.24,2688,2022
2226,Good Boundaries and Goodbyes: Loving Others Without Losing the Best of Who You Are,Lysa TerKeurst,4.45,5288,2022
2227,All the Living and the Dead,Hayley Campbell,4.26,6283,2022
2228,鬼滅の刃 22 [Kimetsu no Yaiba 22],Koyoharu Gotouge,4.69,8878,2020
2229,"곱게 키웠더니, 짐승 3 (My Gently Raised Beast, Vol. 3)",Yeoseulki,4.29,425,2022
2230,Star Child: A Biographical Constellation of Octavia Estelle Butler,Ibi Zoboi,4.11,1350,2022
2231,Songbook,Nick Hornby,3.56,13758,2002
2232,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,4.17,68648,-400
2233,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",Mitch Albom,4.45,27483,2019
2234,The Lucky Shamrock,Carolyn Brown,4.49,1356,2023
2235,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.56,83187,2022
2236,One Kid&#39;s Trash,Jamie Sumner,3.91,508,2021
2237,Evidence of Things Seen,Sarah Weinman,3.71,118,2023
2238,A Righteous Man,Tochi Onyebuchi,3.3,1070,2022
2239,"Emotional Inheritance: A Therapist, Her Patients, and the Legacy of Trauma",Galit Atlas,4.26,2533,2022
2240,"Sanctuary with Kings (Tempting Monsters, #3)",Kathryn  Moon,4.25,885,2023
2241,"Bonesmith (House of the Dead, #1)",Nicki Pau Preto,4.31,303,2023
2242,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.59,369554,2020
2243,"Bears With Me (Ursa Shifters, #2)",Sam   Hall,4.23,2065,2023
2244,Love Unseen,Rachel Kelley Stones,4.41,212,2023
2245,A Pocketful of Happiness,Richard E. Grant,4.42,2299,2022
2246,The Stolen Coast,Dwyer Murphy,3.54,160,2023
2247,"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",Tieghan Gerard,4.3,3268,2019
2248,Made for You (Made For #2),Natasha Madison,4.51,2523,2023
2249,Ships of the Line (The Last Hunter #9),J.N. Chaney,4.47,443,2023
2250,The Left Hand of Darkness,Ursula K. Le Guin,4.09,167253,1969
2251,"Faked (Ward Sisters, #2)",Karla Sorensen,4.07,14568,2020
2252,"When Life Gives You Lemons (Sun Tower, #1)",Noor Sasha,3.88,307,2023
2253,The Daddy Diaries: The Year I Grew Up,Andy Cohen,4.01,7281,2023
2254,Fate of a Royal (Lords of Rathe #1),Meagan Brandy,4.16,2783,2023
2255,Michelangelo and the Pope's Ceiling,Ross King,3.82,36175,2003
2256,"Bloodmarked (Legendborn, #2)",Tracy Deonn,4.38,37563,2022
2257,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,4.21,44138,1970
2258,"The Elissas: Three Girls, One Fate, and the Deadly Secrets of Suburbia",Samantha Leach,3.32,635,2023
2259,"My Happy Marriage, Vol. 1",Akumi Agitogi,4.34,3806,2019
2260,You&#39;re Not Enough (and That&#39;s Ok): Escaping the Toxic Culture of Self-Love,Allie Beth Stuckey,4.2,6430,2020
2261,チェンソーマン 14 [Chainsaw Man 14],Tatsuki Fujimoto,4.33,1038,2023
2262,The Bookshop Murder (Flora Steele #1),Merryn Allingham,3.96,4783,2021
2263,"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,4.21,9306,2022
2264,The Singing Trees,Boo Walker,4.23,39563,2021
2265,We Have Always Lived in the Castle,Shirley Jackson,3.95,197125,1962
2266,Rising Strong: The Reckoning. The Rumble. The Revolution.,Brené Brown,4.25,78647,2015
2267,Teacher&#39;s Pet (Sweet Valley Twins Graphic Novels #2),Nicole Andelfinger,4.07,196,2023
2268,The Portable Atheist: Essential Readings for the Nonbeliever,Christopher Hitchens,4.02,18257,2007
2269,"ブルーピリオド 6 (Blue Period., #6)",Tsubasa Yamaguchi,4.64,2262,2019
2270,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.95,104039,2007
2271,"Grow Food for Free: No Cost, Low Effort, High Yield",Huw Richards,4.14,361,2020
2272,"Isn&#39;t It Bromantic? (Bromance Book Club, #4)",Lyssa Kay Adams,4.05,27561,2021
2273,"Behind the Net (Vancouver Storm, #1)",Stephanie  Archer,3.97,24576,2023
2274,"Consider Me (Playing For Keeps, #1)",Becka Mack,4.02,70519,2022
2275,葬送のフリーレン 8 [Sōsō no Frieren 8],Kanehito Yamada,4.35,362,2022
2276,"Offer (Alexander Blix &amp; Emma Ramm, #5)",Jørn Lier Horst,4.2,66,2023
2277,"The Star (Charleston Condors, #1)",Beth Bolden,4.26,432,2023
2278,Aftermath,Terri Blackstock,4.27,5172,2021
2279,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,4.22,87774,2014
2280,Plato: Apology (Greek Edition) (Greek and English Edition),Plato,4.2,51232,-399
2281,Sooley,John Grisham,4.14,57447,2021
2282,"River (Warriors: A Starless Clan, #1)",Erin Hunter,4.36,1376,2022
2283,"The Tea Dragon Society (Tea Dragon, #1)",Katie  O'Neill,4.36,49988,2017
2284,"Pa, Me, and Our Sidewalk Pantry",Toni Buzzeo,4.47,19,2023
2285,The Heat Will Kill You First: Life and Death on a Scorched Planet,Jeff Goodell,4.47,540,2023
2286,Stars Collide,Rachel Lacey,4.1,2862,2023
2287,ブラッククローバー 35 [Black Clover 35],Yūki Tabata,4.31,88,2023
2288,The Library of Broken Worlds,Alaya Dawn Johnson,3.26,53,2023
2289,Courage Is Calling: Fortune Favors the Brave (The Stoic Virtues Series),Ryan Holiday,4.05,8222,2021
2290,Role Playing,Cathy Yardley,3.99,4844,2023
2291,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,421446,1887
2292,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.0,828861,2005
2293,America&#39;s First Plague: The Deadly 1793 Yellow Fever Epidemic That Crippled a Young Nation,Robert Watson,3.25,12,2023
2294,The Dead Zone,Stephen King,3.96,214998,1979
2295,A First Time for Everything,Dan Santat,4.42,2511,2023
2296,The Beatles Anthology,The Beatles,4.38,16896,2000
2297,"Say I&#39;m the One (All of Me, #1)",Siobhan Davis,4.35,7963,2021
2298,Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,Joshua Foer,4.27,6923,2016
2299,A Mountain Too Steep (Coventry Saga),Robin Patchen,4.85,211,2023
2300,A Lady&#39;s Guide to Fortune-Hunting,Sophie Irwin,3.93,23768,2022
2301,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.13,154838,2007
2302,"My Happy Marriage, Vol. 2 (light novel) (My Happy Marriage (novel), 2)",Akumi Agitogi,4.14,736,2019
2303,The Dos and Donuts of Love,Adiba Jaigirdar,4.02,1200,2023
2304,Dog Man: Twenty Thousand Fleas Under the Sea (Dog Man #11),Dav Pilkey,4.5,1554,2023
2305,Menti tribali: Perché le brave persone di dividono su politica e religione,Jonathan Haidt,4.21,52980,2012
2306,Half-Life of a Stolen Sister,Rachel Cantor,3.42,43,2023
2307,When You Are Engulfed in Flames,David Sedaris,4.07,205276,2008
2308,All the Dangerous Things,Stacy Willingham,4.12,100859,2023
2309,The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.21,28666,1992
2310,A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain,4.07,26901,2001
2311,The Magnolia Palace,Fiona  Davis,3.89,60431,2022
2312,Go-To Dinners: A Barefoot Contessa Cookbook,Ina Garten,4.22,1930,2022
2313,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,4.02,232552,2003
2314,In the Shelter of Hollythorne House (The Houses of Yorkshire #2),Sarah E. Ladd,4.15,239,2023
2315,Spy School British Invasion (Spy School #7),Stuart Gibbs,4.57,5413,2019
2316,Chronicles: Volume One,Bob Dylan,3.97,55676,2004
2317,"Sleepless City (Nick Ryan, #1)",Reed Farrel Coleman,4.33,358,2023
2318,You&#39;re Not Supposed to Die Tonight,Kalynn  Bayron,3.71,4141,2023
2319,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.18,520193,1957
2320,"A Shadow Crown (The Halfling Saga, #2)",Melissa Blair,4.16,2447,2023
2321,The Half of It: A Memoir,Madison Beer,4.09,2140,2023
2322,A Very Nice Girl,Imogen Crimp,3.4,5853,2022
2323,The Revels,Stacey  Thomas,3.95,83,2023
2324,Pick Six,Maggie Rawdon,4.13,2293,2023
2325,The Last Cuentista,Donna Barba Higuera,4.11,16128,2021
2326,Christine,Stephen King,3.83,232590,1983
2327,The Plant-Based Baby and Toddler: Your Complete Feeding Guide for the First 3 Years,Alexandra Caspero MA RDN,4.63,109,2021
2328,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,3.95,228853,2013
2329,Tell Me Everything,Minka Kelly,4.34,6649,2023
2330,チェンソーマン 8 [Chainsaw Man 8],Tatsuki Fujimoto,4.42,13517,2020
2331,The Man Who Ate Too Much: The Life of James Beard,John Birdsall,3.33,990,2020
2332,"Pucked (Pucked, #1)",Helena Hunting,3.9,68451,2015
2333,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.12,35249,2011
2334,"Intersect (Parallel, #2)",Elizabeth O\'Roark,4.22,7116,2019
2335,History of the Peloponnesian War,Thucydides,3.92,36957,-411
2336,Artemis,Andy Weir,3.69,251453,2017
2337,"Hidden Systems: Water, Electricity, the Internet, and the Secrets Behind the Systems We Use Every Day",Dan Nott,4.24,217,2023
2338,Wagon Train Baby (Love on the Santa Fe Trail #1),Linda Ford,4.33,3150,2018
2339,The Wim Hof Method: Activate Your Full Human Potential,Wim Hof,3.85,11386,2020
2340,The Diamond Eye,Kate Quinn,4.29,104473,2022
2341,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Ina Garten,4.09,52261,2006
2342,Yumi y el pintor de pesadillas,Brandon Sanderson,4.59,10518,2023
2343,De uma a outra ilha,Ana Martins Marques,4.3,10,2023
2344,Clue Krewe (Miss Fortune Mysteries #24),Jana Deleon,4.73,4284,2023
2345,Clementine and Danny Save the World,Livia Blackburne,3.76,104,2023
2346,It Will All Work Out: The Freedom of Letting Go,Kevin  Hart,3.82,1370,2023
2347,The Love Theorem,Camilla Isley,3.78,2179,2019
2348,"Home Made: A Story of Grief, Groceries, Showing Up--and What We Make When We Make Dinner",Liz Hauck,4.23,1237,2021
2349,SPQR: A History of Ancient Rome,Mary Beard,4.05,57449,2015
2350,"Pack Rivals: Part One (The Rockview Omegaverse, #1)",Hannah Haze,4.22,2509,2023
2351,"Death Note, Vol. 6: Give-and-Take (Death Note, #6)",Tsugumi Ohba,4.39,26029,2005
2352,"Midlife Witch Hunter (Forty Proof, #6)",Shannon Mayer,4.64,5898,2022
2353,"The Raging Storm (Warriors: A Vision of Shadows, #6)",Erin Hunter,4.36,2914,2018
2354,"Monstress, Vol. 1: Awakening",Marjorie M. Liu,3.96,59465,2016
2355,Picture Day: (A Graphic Novel) (The Brinkley Yearbooks),Sarah Sax,3.85,312,2023
2356,The Giving Tree,Shel Silverstein,4.38,1078912,1964
2357,"Run, Rose, Run",Dolly Parton,3.83,103518,2022
2358,Catch-22,Joseph Heller,3.99,811364,1961
2359,Act of Oblivion,Robert   Harris,4.11,10424,2022
2360,"The Viscount&#39;s Sinful Bargain (The Dukes&#39; Pact, #1)",Kate  Archer,4.19,1886,2020
2361,Notes on an Execution,Danya Kukafka,4.11,62623,2022
2362,Hidden Pictures,Jason Rekulak,4.15,140421,2022
2363,あかね噺 6 [Akane-banashi 6],Yūki Suenaga,4.34,29,2023
2364,Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.35,317039,1926
2365,And Then There&#39;s Margaret: A Laugh Out Loud Contemporary Dramedy (Novel),Carolyn   Clarke,3.73,3542,2022
2366,The Adventures of Huckleberry Finn,Mark Twain,3.83,1244119,1884
2367,Miraculous: Tales of Ladybug &amp; Cat Noir (Manga) 1,Koma Warita,4.21,103,2021
2368,"ブルーピリオド 4 (Blue Period., #4)",Tsubasa Yamaguchi,4.53,2939,2019
2369,The Best of Friends,Lucinda Berry,4.04,67203,2020
2370,"Gigi, Listening",Chantel Guertin,3.59,1538,2023
2371,Unpacking for Greece,Sally Jane Smith,4.68,22,2023
2372,"Return Policy (Crystal Bay University, #1)",Hailey Dickert,4.0,1256,2023
2373,"The Ex I&#39;d Love to Hate (The Lasker Brothers, #3)",Nadia Lee,4.14,4603,2023
2374,"No God but God: The Origins, Evolution and Future of Islam",Reza Aslan,4.12,26436,2005
2375,City of Stolen Magic,Nazneen Ahmed Pathak,3.92,100,2023
2376,Wedded Wife: a feminist history of marriage,Rachael Lennon,3.89,64,2023
2377,"A Side Character&#39;s Love Story, Vol. 2 (A Side Character&#39;s Love Story, #2)",Akane Tamura,4.3,816,2018
2378,"The Crown of Oaths and Curses (The Mortal Fates, #1)",J.  Bree,4.36,4306,2023
2379,Venus in the Blind Spot,Junji Ito,4.13,9456,2019
2380,"Deadly Night (Ageless Mysteries, #1)",Vanessa  Nelson,4.42,1203,2021
2381,Jane Eyre,Charlotte Brontë,4.14,2005143,1847
2382,Jar of Hearts,Jennifer Hillier,4.12,85467,2018
2383,A Short History of Nearly Everything,Bill Bryson,4.21,371287,2003
2384,"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,4.15,94678,2008
2385,極主夫道 1 [Gokushufudō 1],Kousuke Oono,4.32,22053,2018
2386,The Measure of Silence,Elizabeth Langston,4.28,316,2023
2387,Camden,Sawyer Bennett,4.42,429,2023
2388,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.24,88485,1970
2389,A Theatre for Dreamers,Polly Samson,3.46,4494,2021
2390,"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton,4.05,18651,2020
2391,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,4.29,103192,2008
2392,Unnatural Causes: The Life and Many Deaths of Britain&#39;s Top Forensic Pathologist,Richard  Shepherd,4.33,35139,2018
2393,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,3064326,2005
2394,A Body at the Farmhouse (West Wales Murder Mysteries #4),P.F. Ford,4.28,690,2023
2395,A Little Life,Hanya Yanagihara,4.34,487553,2015
2396,Quantum Supremacy: How the Quantum Computer Revolution Will Change Everything,Michio Kaku,3.78,481,2023
2397,Something More,Jackie Khalilieh,4.16,440,2023
2398,Camp Damascus,Chuck Tingle,4.21,1311,2023
2399,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.05,759978,2012
2400,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.59,1834035,2006
2401,"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,4.01,8426,2023
2402,"The Shining (The Shining, #1)",Stephen King,4.26,1408876,1977
2403,The Lord of the Rings,J.R.R. Tolkien,4.52,651814,1955
2404,No-Nonsense Buddhism for Beginners: Clear Answers to Burning Questions About Core Buddhist Teachings,Noah Rasheta,4.45,4386,2018
2405,Cheer Up: Love and Pompoms,Crystal Frasier,4.26,8503,2021
2406,Punching the Air,Ibi Zoboi,4.43,20030,2020
2407,"Friiight Night (Goosebumps SlappyWorld, #19)",R.L. Stine,3.93,27,2023
2408,Flamer,Mike Curato,4.32,7443,2020
2409,"Lonely Heart (Scarlet Luck, #1)",Mona Kasten,4.29,13413,2022
2410,The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,4.4,39276,2008
2411,What Lies Between Us,John Marrs,4.11,58399,2020
2412,Cravings: Recipes for All the Food You Want to Eat,Chrissy Teigen,4.01,30841,2016
2413,The Symposium,Plato,4.08,63458,-380
2414,The Devine Doughnut Shop,Carolyn Brown,4.26,6194,2023
2415,Daisy Jones &amp; The Six,Taylor Jenkins Reid,4.23,1239555,2019
2416,Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.21,234006,2015
2417,チェンソーマン 4 [Chainsaw Man 4],Tatsuki Fujimoto,4.4,17767,2019
2418,A Castle in Brooklyn,Shirley Russak Wachtel,3.81,8288,2023
2419,"Wanted (Legacy of Magic, #7)",Lindsay Buroker,4.6,1359,2023
2420,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,4.26,70412,2018
2421,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.84,202320,1979
2422,Pirates Don&#39;t Go to Kindergarten!,Lisa     Robinson,4.16,1331,2019
2423,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,4.62,7903,2021
2424,Chomsky and Me: A Memoir,Bev Boisseau Stohl,4.83,24,2023
2425,'Salem's Lot,Stephen King,4.05,426255,1975
2426,The Couple Next Door,Shari Lapena,3.81,531911,2016
2427,Innocent or Guilty,Kathi Daley,4.59,352,2023
2428,"The Ex Effect (Washington Wolves, #2)",Karla Sorensen,4.1,8974,2018
2429,"Still Me (Me Before You, #3)",Jojo Moyes,4.12,194205,2018
2430,The Riviera House,Natasha Lester,4.32,9641,2021
2431,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,4.15,201246,2006
2432,The Air Raid Book Club,Annie Lyons,4.17,815,2023
2433,None of This Is True,Lisa Jewell,4.42,5264,2023
2434,A Tale of Two Cities,Charles Dickens,3.87,919966,1859
2435,10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.09,54929,2019
2436,Falling Up,Shel Silverstein,4.35,146720,1996
2437,Eeriella: Super-Fiend!,Sophie Ingley,4.85,20,2023
2438,The Troop,Nick Cutter,3.84,67069,2014
2439,"Him (Him, #1)",Sarina Bowen,4.26,59055,2015
2440,At Home: A Short History of Private Life,Bill Bryson,3.98,91728,2010
2441,Invisible Son,Kim  Johnson,4.34,250,2023
2442,"Rocked Bayou (Badges of the Bayou, #3)",Erin Nicholas,4.52,819,2023
2443,Dinners with Ruth: A Memoir on the Power of Friendships,Nina Totenberg,4.18,11168,2022
2444,Tulppaanitoiveunia,Laura Suomela,3.22,41,2023
2445,Jonas (Minnesota Marshalls #2),Susan May Warren,4.64,502,2023
2446,Una vida sin salud mental,Alba González,3.55,3562,2022
2447,Big Tree,Brian Selznick,4.1,1561,2023
2448,Flying Angels,Danielle Steel,4.16,12995,2021
2449,"¡Ay, Mija!: My Bilingual Summer in Mexico",Christine Suggs,4.17,514,2023
2450,"Crimson Kingdom (The Lochlann Feuds, #3)",Robin D. Mahle,4.39,2383,2021
2451,"Dune Messiah (Dune, #2)",Frank Herbert,3.89,247423,1969
2452,Fair Game (Vegas Aces #3),Lisa Suzanne,4.01,4057,2021
2453,"The Kind Worth Killing (Henry Kimball/Lily Kintner, #1)",Peter  Swanson,4.02,159726,2015
2454,Into the Wild,Jon Krakauer,4.01,1046994,1996
2455,The Other Pandemic: How QAnon Contaminated the World,James Ball,3.62,16,2023
2456,Where Are Your Boys Tonight?: The Oral History of Emo&#39;s Mainstream Explosion 1999-2008,Chris Payne,4.52,535,2023
2457,"House of Roots and Ruin (Sisters of the Salt, #2)",Erin A. Craig,4.38,1018,2023
2458,"Wayside School Beneath the Cloud of Doom (Wayside School, #4)",Louis Sachar,4.2,3213,2020
2459,"Dark of Night (Annie Pederson, #2)",Colleen Coble,4.26,1973,2023
2460,"Spy×Family, Vol. 1 (Spy×Family, #1)",Tatsuya Endo,4.5,102429,2019
2461,A Very Punchable Face,Colin Jost,4.21,46245,2020
2462,Warrior Girl Unearthed,Angeline Boulley,4.41,6674,2023
2463,A History of My Brief Body,Billy-Ray Belcourt,4.21,4016,2020
2464,Portals,Douglas E. Richards,4.17,5529,2022
2465,The Flag and the Cross: White Christian Nationalism and the Threat to American Democracy,Philip S. Gorski,4.23,754,2022
2466,House of Hollow,Krystal Sutherland,4.05,63255,2021
2467,The Travel Book: A Journey Through Every Country in the World,Roz Hopkins,4.29,6625,2004
2468,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,4.19,33114,1975
2469,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.14,192952,2005
2470,The Corfe Castle Murders (Dorset Crime #1),Rachel McLean,4.16,11142,2021
2471,A Promised Land,Barack Obama,4.34,207359,2020
2472,The Year of Magical Thinking,Joan Didion,3.93,220298,2005
2473,The Old Patagonian Express: By Train Through the Americas,Paul Theroux,3.95,10236,1979
2474,The Soul of a Woman,Isabel Allende,4.04,22879,2020
2475,"Real (Real, #1)",Katy Evans,4.13,110941,2013
2476,ふらいんぐうぃっち 12 [Flying Witch 12],Chihiro Ishizuka,4.0,6,2023
2477,Night Candy (Colleen Hayes #5),Max  Tomlinson,4.27,51,2023
2478,She Says She&#39;s My Daughter,Lauren North,4.37,214,2023
2479,Fabbricante di lacrime,Erin Doom,3.71,26208,2020
2480,The Fault in Our Stars,John Green,4.15,4853123,2012
2481,Shuggie Bain,Douglas   Stuart,4.32,134476,2020
2482,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,4.12,223809,2018
2483,Round Ireland with a Fridge,Tony Hawks,3.81,19055,1997
2484,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,4.13,102038,2017
2485,The War Came to Us: Life and Death in Ukraine,Christopher       Miller,2.75,92,2023
2486,"Elle(s), Vol. 2: The Elle-Verse",Kid Toussaint,3.87,1704,2022
2487,Where Echoes Die,Courtney Gould,3.71,731,2023
2488,Mark of the Fool 4 (Mark of the Fool #4),J.M. Clarke,4.67,725,2023
2489,Consecuencias de decir te quiero,Manu Erena,3.73,4226,2020
2490,"The Wicked + The Divine, Vol. 1: The Faust Act",Kieron Gillen,3.82,58221,2014
2491,All the Yellow Suns,Malavika Kannan,4.1,51,2023
2492,A Taste for Poison: Eleven Deadly Molecules and the Killers Who Used Them,Neil Bradbury,4.13,5400,2022
2493,The Good Ones,Polly Stewart,3.35,549,2023
2494,Bad Mormon: A Memoir,Heather Gay,3.47,7246,2023
2495,"A Death in the Parish (Canon Clement, #2)",Richard  Coles,4.13,661,2023
2496,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,3.94,53523,2000
2497,"The Mistress of Bhatia House (Perveen Mistry, #4)",Sujata Massey,4.17,901,2023
2498,Ride or Die,Gail-Agnes Musikavanhu,3.52,210,2023
2499,The Lies I Tell,Julie   Clark,4.11,61465,2022
2500,Billionaire&#39;s Daughter and the Quarterback,Lea  Vaughn,4.43,148,2023
2501,Meet Me in Paradise,Libby Hubscher,3.91,14433,2021
2502,Salt: A World History,Mark Kurlansky,3.75,69147,2002
2503,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.18,225994,1982
2504,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.26,199320,2003
2505,The Invisible Life of Addie LaRue,V.E. Schwab,4.2,899304,2020
2506,I&#39;m Not Here to Make Friends,Andrew  Yang,3.71,41,2023
2507,"Soul of Light and Shadow (Lords of the Underworld, #1)",Maggie  White,3.83,48,2023
2508,Eerie Tales from the School of Screams,Graham  Annable,4.35,65,2022
2509,シャドーハウス 14 [Shadow House 14],Somato,4.11,9,2023
2510,Under the Tuscan Sun: At Home in Italy,Frances Mayes,3.77,324850,1996
