,Title,Author,Score,Ratings,Published
115,The Wedding Planner,Danielle Steel,4.03,6758,2023
116,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.25,400497,2013
117,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1540576,2012
118,The House Witch 3,Delemhach,4.56,5282,2023
119,Life,Keith Richards,3.88,92204,2010
120,Everything&#39;s Fine,Cecilia Rabess,3.56,2370,2023
121,Poems for the Signs,Michaela Angemeer,3.86,924,2022
122,The Count of Monte Cristo,Alexandre Dumas,4.29,880803,1844
123,Donde todo brilla,Alice Kellen,4.34,5260,2023
124,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,4.21,155643,2020
125,Alone,Megan E. Freeman,4.16,8818,2021
126,"Big Panda &amp; Tiny Dragon (Big Panda &amp; Tiny Dragon, #1)",James Norbury,4.41,11506,2020
127,Greenlights,Matthew McConaughey,4.21,270730,2020
128,All Good People Here,Ashley Flowers,3.86,154155,2022
129,Falling Back in Love with Being Human: Letters to Lost Souls,Kai Cheng Thom,4.15,109,2023
130,Tiny Habits: The Small Changes That Change Everything,B.J.  Fogg,4.16,14026,2019
131,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.96,150240,1939
132,DCeased,Tom    Taylor,4.17,4717,2019
133,鬼滅の刃 15 [Kimetsu no Yaiba 15],Koyoharu Gotouge,4.58,10578,2019
134,"Diary of a Bad Boy (The Bromance Club, #2)",Meghan Quinn,4.29,9683,2019
135,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,4.74,272,2023
136,ワンパンマン 28 深淵へ [One Punch Man 28: Shin&#39;en e],ONE,4.3,206,2023
137,"BORUTO―ボルト― 17 ―NARUTO NEXT GENERATIONS― (Boruto: Naruto Next Generations, #17)",Masashi Kishimoto,3.92,213,2022
138,The Problems of Philosophy,Bertrand Russell,3.91,15637,1912
139,Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,3.82,36644,2021
140,Cuddy,Benjamin Myers,4.39,372,2023
141,チェンソーマン 13 [Chainsaw Man 13],Tatsuki Fujimoto,4.27,2256,2023
142,Getting Stoned with Savages: A Trip Through the Islands of Fiji and Vanuatu,J. Maarten Troost,3.86,13399,2006
143,Big Summer,Jennifer Weiner,3.6,132430,2020
144,Hamlet,William Shakespeare,4.02,903573,1601
145,The Possibilities,Yael Goldstein-Love,3.92,145,2023
146,"Fragile Heart (Scarlet Luck, #2)",Mona Kasten,4.27,8212,2022
147,Blue Highways,William Least Heat-Moon,4.03,23527,1982
148,"Going Rogue (Stephanie Plum, #29)",Janet Evanovich,4.21,34432,2022
149,Dylan Dog n. 442: Frammenti,Paola Barbato,3.76,25,2023
150,Radar (Terk&#39;s Guardians Book 1),Dale Mayer,4.71,204,2023
151,"The DIRTY, LAZY, KETO Cookbook: Bend the Rules to Lose the Weight!",Stephanie  Laska,3.69,662,2020
152,The Discovery of Magic (Elementals Academy #1),Michelle Madow,4.31,1829,2022
153,Color: A Natural History of the Palette,Victoria Finlay,3.81,67693,2003
154,"Always Only You (Bergman Brothers, #2)",Chloe Liese,4.0,34503,2020
155,Do Not Disturb,Freida McFadden,4.1,58515,2021
156,The Block Party,Jamie        Day,3.78,3659,2023
157,To Name the Bigger Lie: A Memoir in Two Stories,Sarah Viren,3.73,228,2023
158,"Burned Bones (Blood and Magic Series, #5)",Lauretta Hignett,4.55,146,2023
159,"呪術廻戦 20 (Jujutsu Kaisen, #20)",Gege Akutami,4.34,2476,2022
160,The Satsuma Complex,Bob Mortimer,3.79,12923,2022
161,ガチアクタ 7 [Gachiakuta 7],Kei Urana,4.31,13,2023
162,My Daughter&#39;s Boyfriend,Daniel Hurst,3.89,4484,2023
163,Home Body,Rupi Kaur,4.07,107204,2020
164,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,3.9,5681,2020
165,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.28,70933,1996
166,Other People&#39;s Clothes,Calla Henkel,3.71,10542,2022
167,An American Wife in Paris (The Diplomat&#39;s Wife #2),Chrystyna Lucyk-Berger,4.57,183,2023
168,Bezmatek,Mira Marcinów,4.0,5201,2020
169,Breathe: A Life in Flow,Rickson Gracie,4.4,3471,2021
170,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.16,53071,2009
171,The Extraordinary Deaths of Mrs. Kip,Sara Brunsvold,4.44,1867,2022
172,I'm Glad My Mom Died,Jennette McCurdy,4.49,636739,2022
173,Burn the Negative,Josh Winning,3.63,571,2023
174,"Moby-Dick or, the Whale",Herman Melville,3.54,540688,1851
175,Tell Me How This Ends,Jo Leevers,4.29,4166,2023
176,The Misery House (The House on the Hill #1),David Duane Kummer,4.33,64,2023
177,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,4.03,315334,2000
178,The Tryout: A Graphic Novel,Christina Soontornvat,4.37,2489,2022
179,The Oh She Glows Cookbook: Over 100 Vegan Recipes to Glow from the Inside Out,Angela Liddon,3.99,14280,2013
180,The London Girls,Soraya M. Lane,4.44,3677,2022
181,Pandora&#39;s Jar: Women in the Greek Myths,Natalie Haynes,4.25,14899,2020
182,The Half Moon,Mary Beth Keane,3.43,12201,2023
183,People We Meet on Vacation,Emily Henry,3.91,944528,2021
184,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,4.01,114358,2012
185,Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff,Dana K. White,4.07,13461,2018
186,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.91,369881,2020
187,"Fruits Basket, Vol. 5",Natsuki Takaya,4.41,18111,2000
188,Into the Bright Sunshine: Young Hubert Humphrey and the Fight for Civil Rights,Samuel G. Freedman,4.5,16,2023
189,Holy Ghosts: Classic Tales of the Ecclesiastical Uncanny,Fiona Snailham,4.0,16,2023
190,Blood Runs Cold (Hidden Norfolk #14),J.M. Dalgliesh,4.52,2689,2023
191,"Simply Living Well: A Guide to Creating a Natural, Low-Waste Home",Julia Watkins,3.78,1249,2020
192,とんがり帽子のアトリエ 9 [Tongari Bōshi no Atelier 9],Kamome Shirahama,4.52,3166,2021
193,Lightfall: The Girl &amp; the Galdurian,Tim Probert,4.41,6298,2020
194,"WOLFPACK: How to Come Together, Unleash Our Power, and Change the Game",Abby Wambach,4.15,22182,2019
195,"Master of the Phantom Isle (Dragonwatch, #3)",Brandon Mull,4.42,7389,2019
196,Weyward,Emilia Hart,4.14,40969,2023
197,The Universe in a Nutshell,Stephen Hawking,4.18,41360,2001
198,Ask for Andrea,Noelle W. Ihli,4.19,6606,2022
199,We Do What We Do in the Dark,Michelle  Hart,3.58,6326,2022
200,Nat Enough (Nat Enough #1),Maria Scrivan,4.1,4183,2020
201,The Practice of the Presence of God,Brother Lawrence,4.31,46869,1692
202,Through the Woods,Emily Carroll,3.94,78002,2014
203,Girlfriend on Mars,Deborah  Willis,3.48,413,2023
204,"Skip and Loafer, Vol. 3",Misaki Takamatsu,4.47,1325,2020
205,Maggie Moves On,Lucy Score,4.0,29089,2022
206,Brave the Wild River: The Untold Story of Two Women Who Mapped the Botany of the Grand Canyon,Melissa L. Sevigny,4.24,609,2023
207,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,8110032,2008
208,"The Night Eaters, Vol. 1: She Eats the Night",Marjorie M. Liu,4.11,2086,2022
209,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,3.91,23179,2007
210,Persuasion,Jane Austen,4.15,664847,1817
211,Lifespan: Why We Age―and Why We Don&#39;t Have To,David A. Sinclair,4.18,19022,2019
212,White Fragility: Why It’s So Hard for White People to Talk About Racism,Robin DiAngelo,4.18,157990,2018
213,Before We Were Innocent,Ella Berman,3.47,4101,2023
214,Koshersoul: The Faith and Food Journey of an African American Jew,Michael W. Twitty,4.14,487,2022
215,Kon-Tiki,Thor Heyerdahl,4.15,22537,1948
216,My Body,Emily Ratajkowski,4.05,56233,2021
217,Thinking in Bets: Making Smarter Decisions When You Don&#39;t Have All the Facts,Annie Duke,3.83,16476,2018
218,The Tao of Pooh,Benjamin Hoff,4.0,116450,1982
