Rank,Title,Num_episodes,Aired_through,Num_members,page_url,image_url,Score
11,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"309,505 members",https://myanimelist.net/anime/15417/Gintama__Enchousen,https://cdn.myanimelist.net/r/100x140/images/anime/1452/123686.jpg?s=8c58b95cccbdac9b5ad4f15f4802baa9,9.03
12,Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"305,647 members",https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/r/100x140/images/anime/13/13225.jpg?s=8672a3462de209d1b78348d01df76d7b,9.02
13,Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"431,660 members",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/r/100x140/images/anime/1085/114792.jpg?s=5c97b2781732adc9ad6711abcb6f2f1b,9.00
14,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"298,051 members",https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/3/83528.jpg?s=c5709cac379ebb2033052a3357967397,8.98
15,"""Oshi no Ko""",TV (11 eps),Apr 2023 - Jun 2023,"520,749 members",https://myanimelist.net/anime/52034/Oshi_no_Ko,https://cdn.myanimelist.net/r/100x140/images/anime/1812/134736.jpg?s=ec39651bb29c97e364b842163f6c50f1,8.97
16,Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,023,648 members",https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/10/73274.jpg?s=bfda4724d048534799329614778234c8,8.94
17,Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,195,182 members",https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/r/100x140/images/anime/1122/96435.jpg?s=ba7b364bdcb787802fa6be905e944d77,8.94
18,3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,"383,894 members",https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/3/88469.jpg?s=4e26ac5f78b5501d6969e9eb528247a9,8.93
19,Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"1,150,484 members",https://myanimelist.net/anime/4181/Clannad__After_Story,https://cdn.myanimelist.net/r/100x140/images/anime/1299/110774.jpg?s=0bee2596cef8c43a9879b9d26089f868,8.93
20,Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,700,832 members",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,https://cdn.myanimelist.net/r/100x140/images/anime/1088/135089.jpg?s=c9d93439e18ea1111b4bc8645b108a94,8.91
