Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Universe
4927,Rosalyn Mays ,Secret,Bad,Blue,Bald,Female,Yes,1,"2010, August",DC
4928,Blaster ,Public,Bad,Brown,Black,Male,Yes,3,"1993, June",DC
4929,Tongah ,Non-dual,Good,Brown,Black,Male,Yes,22,"1970, December",Marvel
4930,Leland Owlsley ,Public,Bad,Blue,Brown,Male,Yes,107,"1964, August",Marvel
4931,Jake Martino ,Public,Bad,Brown,Bald,Male,No,4,"2007, May",Marvel
4932,Professor Ford ,Public,Bad,Red,Brown,Male,Yes,1,"1963, April",Marvel
4933,Stoop Richards ,Public,Bad,Brown,Brown,Male,Yes,3,"1989, April",Marvel
4934,Jack Monroe ,Public,Good,Brown,Brown,Male,No,141,"1953, December",Marvel
4935,Crimesmith ,Secret,Bad,Brown,Black,Female,Yes,2,"1990, January",DC
4936,Jason Pierce ,Secret,Bad,Yellow,No,Male,Yes,8,"2010, August",Marvel
4937,Scorcher IV ,Secret,Bad,Brown,Black,Female,Yes,2,"2002, May",DC
4938,Samuel Kurtis ,Public,Bad,Blue,Brown,Male,No,7,"2000, May",DC
4939,Naomi ,Public,Good,Brown,Blond,Female,No,1,"1986, February",Marvel
4940,Qnax ,Secret,Bad,Green,No,Male,Yes,12,"1965, November",Marvel
4941,Quellor ,Secret,Bad,Blue,Black,Male,Yes,2,"1973, August",Marvel
4942,Roderick Kingsley ,Public,Bad,Blue,Grey,Male,Yes,108,"1980, June",Marvel
4943,Hammerhead ,Secret,Bad,Blue,Black,Male,Yes,116,"1972, October",Marvel
4944,Pascal Guacana ,Secret,Bad,Black,Brown,Male,Yes,3,"1995, June",Marvel
4945,Matthew Beacher ,Secret,Bad,Green,Blond,Male,No,3,"1994, August",Marvel
4946,Cru ,Secret,Good,Red,White,Female,No,9,"2006, June",Marvel
4947,Amalga-Beast ,Public,Bad,Brown,Bald,Unknown,Yes,1,"1967, May",Marvel
4948,Virginia Potts ,Non-dual,Good,Green,Red,Female,Yes,274,"1963, September",Marvel
4949,Simeon ,Public,Neutral,Blue,Grey,Male,No,9,"1986, October",Marvel
