Kingdom 3rd Season,TV (26 eps),Apr 2020 - Oct 2021,"91,792 members",https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1443/111830.jpg?s=5f4d5d796fc9522d7311846d60320695,8.81
Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,"1,439,906 members",https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/r/100x140/images/anime/1918/96303.jpg?s=51c465145beb577d45305bca91984d7a,8.80
Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,"1,856,972 members",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1000/110531.jpg?s=1c08fa93884604f959aa65825a252e12,8.80
Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,263,280 members",https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1908/120036.jpg?s=2044bfc6d0c06e18048e668518a97176,8.79
Kizumonogatari III: Reiketsu-hen,Movie (1 eps),Jan 2017 - Jan 2017,"441,671 members",https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1084/112813.jpg?s=693153a2a61cdcc79d61b58a3e2a7a6d,8.79
Sen to Chihiro no Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,"1,767,528 members",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://cdn.myanimelist.net/r/100x140/images/anime/6/79597.jpg?s=63a85532fc52356a938354277201d43c,8.78
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),Oct 2016 - Dec 2016,"1,146,111 members",https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://cdn.myanimelist.net/r/100x140/images/anime/7/81992.jpg?s=b241bc153f456bb54b738ab507d6d5db,8.78
Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"649,281 members",https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1807/121534.jpg?s=450ac03a6fcd16dcb5076e42f01fd9ad,8.77
Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,144,213 members",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1948/120625.jpg?s=ad6cd47edcacb01a61121853204f8139,8.77
Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"550,050 members",https://myanimelist.net/anime/263/Hajime_no_Ippo,https://cdn.myanimelist.net/r/100x140/images/anime/4/86334.jpg?s=448fd8dfdff2a7db7de2b85633a691f2,8.76
